date,positive
2021-01-01,345
2021-01-02,523
2021-01-03,443
2021-01-04,936
2021-01-05,788
2021-01-06,708
2021-01-07,735
2021-01-08,649
2021-01-09,414
2021-01-10,435
2021-01-11,638
2021-01-12,563
2021-01-13,460
2021-01-14,454
2021-01-15,397
2021-01-16,267
2021-01-17,226
2021-01-18,446
2021-01-19,342
2021-01-20,353
2021-01-21,345
2021-01-22,329
2021-01-23,213
2021-01-24,189
2021-01-25,385
2021-01-26,275
2021-01-27,344
2021-01-28,284
2021-01-29,295
2021-01-30,175
2021-01-31,182
2021-02-01,318
2021-02-02,291
2021-02-03,325
2021-02-04,253
2021-02-05,288
2021-02-06,198
2021-02-07,167
2021-02-08,301
2021-02-09,270
2021-02-10,310
2021-02-11,262
2021-02-12,247
2021-02-13,184
2021-02-14,160
2021-02-15,331
2021-02-16,305
2021-02-17,320
2021-02-18,301
2021-02-19,337
2021-02-20,215
2021-02-21,221
2021-02-22,410
2021-02-23,445
2021-02-24,461
2021-02-25,526
2021-02-26,491
2021-02-27,381
2021-02-28,391
2021-03-01,551
2021-03-02,637
2021-03-03,659
2021-03-04,601
2021-03-05,703
2021-03-06,465
2021-03-07,572
2021-03-08,846
2021-03-09,799
2021-03-10,851
2021-03-11,782
2021-03-12,950
2021-03-13,735
2021-03-14,697
2021-03-15,1106
2021-03-16,1006
2021-03-17,1058
2021-03-18,1044
2021-03-19,1000
2021-03-20,710
2021-03-21,649
2021-03-22,1106
2021-03-23,966
2021-03-24,1001
2021-03-25,870
2021-03-26,895
2021-03-27,602
2021-03-28,477
2021-03-29,863
2021-03-30,847
2021-03-31,805
2021-04-01,624
2021-04-02,699
2021-04-03,612
2021-04-04,652
2021-04-05,715
2021-04-06,888
2021-04-07,847
2021-04-08,766
2021-04-09,712
2021-04-10,496
2021-04-11,395
2021-04-12,738
2021-04-13,592
2021-04-14,601
2021-04-15,548
2021-04-16,579
2021-04-17,330
2021-04-18,345
2021-04-19,575
2021-04-20,532
2021-04-21,536
2021-04-22,463
2021-04-23,508
2021-04-24,287
2021-04-25,317
2021-04-26,500
2021-04-27,481
2021-04-28,419
2021-04-29,414
2021-04-30,439
2021-05-01,251
2021-05-02,296
2021-05-03,510
2021-05-04,463
2021-05-05,494
2021-05-06,509
2021-05-07,438
2021-05-08,352
2021-05-09,351
2021-05-10,523
2021-05-11,427
2021-05-12,379
2021-05-13,298
2021-05-14,415
2021-05-15,240
2021-05-16,278
2021-05-17,183
2021-05-18,542
2021-05-19,540
2021-05-20,603
2021-05-21,668
2021-05-22,353
2021-05-23,338
2021-05-24,382
2021-05-25,427
2021-05-26,363
2021-05-27,384
2021-05-28,347
2021-05-29,199
2021-05-30,185
2021-05-31,344
2021-06-01,386
2021-06-02,293
2021-06-03,282
2021-06-04,262
2021-06-05,145
2021-06-06,150
2021-06-07,203
2021-06-08,214
2021-06-09,207
2021-06-10,201
2021-06-11,154
2021-06-12,130
2021-06-13,111
2021-06-14,207
2021-06-15,194
2021-06-16,215
2021-06-17,197
2021-06-18,172
2021-06-19,153
2021-06-20,115
2021-06-21,206
2021-06-22,266
2021-06-23,240
2021-06-24,173
2021-06-25,175
2021-06-26,105
2021-06-27,108
2021-06-28,227
2021-06-29,213
2021-06-30,262
